Age_Group,City,Income_Range,Top_Speed_kmh,Range_km,Price_INR,Company_Model,Preference
old,Chennai,70k-90k,78,98,64608,Suzuki,0
middle-aged,Bangalore,70k-90k,67,79,196839,Kawasaki,1
young,Chennai,90k-110k,54,110,178304,Bajaj,0
middle-aged,Delhi,50k-70k,48,81,100866,Bajaj,1
old,Ahmedabad,90k-110k,72,110,108373,Suzuki,0
middle-aged,Hyderabad,70k-90k,66,51,113506,TVS,1
young,Bangalore,50k-70k,38,122,82098,Hero,0
old,Ahmedabad,30k-50k,58,119,50212,Suzuki,0
middle-aged,Bangalore,70k-90k,71,116,147262,Hero,1
young,Chennai,50k-70k,60,68,171818,Royal Enfield,1
old,Bangalore,50k-70k,74,100,78012,Royal Enfield,0
young,Mumbai,50k-70k,60,62,67772,Bajaj,1
old,Kolkata,70k-90k,48,66,79739,Kawasaki,1
middle-aged,Pune,30k-50k,35,122,156113,TVS,1
young,Kolkata,50k-70k,44,71,128629,Hero,0
old,Ahmedabad,70k-90k,45,55,145490,TVS,0
young,Hyderabad,50k-70k,49,58,159492,Kawasaki,0
young,Pune,90k-110k,42,65,158832,TVS,1
middle-aged,Chennai,50k-70k,39,86,130158,TVS,0
young,Ahmedabad,70k-90k,55,86,189818,Yamaha,0
old,Delhi,50k-70k,61,89,120693,Royal Enfield,1
old,Delhi,50k-70k,56,107,172501,Mahindra,0
old,Chennai,90k-110k,59,82,140160,Suzuki,1
old,Hyderabad,90k-110k,38,117,90069,Royal Enfield,0
middle-aged,Chennai,70k-90k,47,112,77822,KTM,0
young,Bangalore,30k-50k,68,107,69596,Hero,0
middle-aged,Delhi,30k-50k,39,51,105527,Hero,0
young,Ahmedabad,30k-50k,66,52,60105,Kawasaki,1
young,Kolkata,30k-50k,41,112,89853,Yamaha,0
young,Chennai,70k-90k,72,92,89406,Kawasaki,0
middle-aged,Hyderabad,70k-90k,57,93,136906,Bajaj,0
young,Ahmedabad,90k-110k,67,92,86249,Suzuki,0
middle-aged,Hyderabad,90k-110k,70,51,107753,Yamaha,0
old,Kolkata,30k-50k,51,77,104091,Royal Enfield,0
old,Pune,90k-110k,78,80,173466,Hero,0
young,Kolkata,70k-90k,62,123,68309,Kawasaki,0
middle-aged,Hyderabad,30k-50k,77,62,82889,Mahindra,0
old,Delhi,50k-70k,68,105,130784,Suzuki,1
middle-aged,Pune,50k-70k,68,115,169520,Suzuki,0
middle-aged,Ahmedabad,50k-70k,42,61,65329,Hero,1
young,Kolkata,90k-110k,47,96,191754,Royal Enfield,0
old,Bangalore,30k-50k,35,67,168338,Hero,0
young,Bangalore,50k-70k,38,80,148885,Hero,1
young,Delhi,30k-50k,73,82,195022,Hero,1
old,Ahmedabad,70k-90k,56,97,181682,Mahindra,1
old,Bangalore,50k-70k,56,124,90389,Honda,1
middle-aged,Chennai,50k-70k,35,83,145489,Bajaj,1
old,Pune,50k-70k,62,71,91655,Suzuki,1
middle-aged,Delhi,70k-90k,45,117,44595,Kawasaki,0
middle-aged,Pune,30k-50k,72,105,154805,Royal Enfield,0
middle-aged,Ahmedabad,50k-70k,40,60,102182,KTM,0
old,Hyderabad,50k-70k,70,101,162142,KTM,0
young,Kolkata,30k-50k,65,59,166762,Honda,1
middle-aged,Chennai,90k-110k,44,113,100411,Suzuki,0
young,Delhi,90k-110k,72,68,52572,KTM,0
young,Kolkata,50k-70k,38,59,51942,Kawasaki,0
old,Kolkata,50k-70k,54,82,94192,Hero,1
young,Kolkata,90k-110k,54,60,67212,Suzuki,1
young,Kolkata,90k-110k,51,58,61482,Kawasaki,0
old,Kolkata,50k-70k,71,51,157430,KTM,0
middle-aged,Delhi,30k-50k,69,116,187684,Mahindra,0
young,Bangalore,90k-110k,40,75,180019,TVS,0
old,Kolkata,50k-70k,37,82,169695,Kawasaki,0
young,Hyderabad,70k-90k,40,91,138786,Yamaha,1
young,Hyderabad,30k-50k,43,63,76975,Royal Enfield,1
middle-aged,Chennai,50k-70k,52,111,79201,KTM,0
young,Delhi,70k-90k,64,67,199223,Mahindra,1
old,Mumbai,90k-110k,41,66,148085,TVS,0
young,Bangalore,70k-90k,35,122,156113,TVS,1
middle-aged,Chennai,70k-90k,59,65,181863,Yamaha,1
middle-aged,Hyderabad,70k-90k,36,94,67086,Yamaha,1
old,Kolkata,90k-110k,74,94,186045,Mahindra,0
middle-aged,Delhi,70k-90k,74,111,173263,Royal Enfield,1
young,Delhi,90k-110k,71,114,189693,Suzuki,0
middle-aged,Kolkata,50k-70k,53,101,82931,KTM,0
old,Hyderabad,70k-90k,49,95,91218,Mahindra,1
middle-aged,Chennai,30k-50k,59,87,87988,Royal Enfield,0
middle-aged,Delhi,50k-70k,53,95,149475,KTM,1
middle-aged,Pune,90k-110k,61,65,111313,TVS,0
old,Hyderabad,50k-70k,61,74,150843,Mahindra,1
middle-aged,Hyderabad,70k-90k,38,106,121462,Kawasaki,1
middle-aged,Bangalore,90k-110k,49,127,122199,Honda,0
young,Chennai,70k-90k,72,68,52572,KTM,1
old,Hyderabad,50k-70k,37,57,48761,TVS,1
middle-aged,Ahmedabad,30k-50k,66,51,113506,TVS,1
old,Kolkata,50k-70k,35,88,141927,Royal Enfield,0
middle-aged,Ahmedabad,50k-70k,43,106,74653,Mahindra,1
middle-aged,Hyderabad,70k-90k,62,98,157457,Suzuki,1
middle-aged,Ahmedabad,30k-50k,35,58,135655,KTM,1
young,Chennai,70k-90k,36,94,49947,Royal Enfield,0
young,Ahmedabad,70k-90k,63,125,188878,TVS,0
young,Pune,70k-90k,70,102,92367,Mahindra,0
old,Hyderabad,90k-110k,61,56,159074,Hero,0
old,Chennai,70k-90k,42,98,56856,Bajaj,0
young,Hyderabad,30k-50k,61,55,124664,Hero,1
old,Mumbai,70k-90k,48,53,156333,Kawasaki,1
middle-aged,Ahmedabad,70k-90k,41,84,97171,Hero,0
middle-aged,Ahmedabad,30k-50k,69,103,155095,TVS,1
middle-aged,Kolkata,50k-70k,66,88,108377,KTM,1
young,Bangalore,70k-90k,36,125,135428,Royal Enfield,0
old,Kolkata,50k-70k,49,102,119020,TVS,0
young,Mumbai,70k-90k,67,77,90936,TVS,1
old,Kolkata,70k-90k,36,105,168693,Royal Enfield,0
middle-aged,Kolkata,90k-110k,36,92,128785,Royal Enfield,0
young,Bangalore,30k-50k,38,105,141919,Kawasaki,0
old,Ahmedabad,30k-50k,35,103,119591,Kawasaki,1
old,Mumbai,50k-70k,58,89,158634,Bajaj,0
middle-aged,Kolkata,90k-110k,41,93,55814,Hero,1
young,Pune,70k-90k,74,98,90978,Hero,1
young,Hyderabad,90k-110k,35,92,162211,Mahindra,1
young,Kolkata,30k-50k,38,66,82712,KTM,0
middle-aged,Delhi,70k-90k,49,121,139428,Suzuki,1
young,Kolkata,70k-90k,78,87,119930,Hero,1
middle-aged,Bangalore,50k-70k,61,67,178457,Bajaj,1
middle-aged,Delhi,90k-110k,58,117,111264,Mahindra,1
middle-aged,Pune,70k-90k,72,70,176851,Hero,1
old,Hyderabad,30k-50k,71,89,176425,Mahindra,1
young,Pune,50k-70k,51,104,132027,Mahindra,0
young,Pune,30k-50k,61,79,78017,Hero,1
middle-aged,Mumbai,50k-70k,37,118,148446,KTM,0
middle-aged,Pune,90k-110k,66,96,93228,Yamaha,0
young,Chennai,50k-70k,64,125,143273,Kawasaki,0
middle-aged,Bangalore,90k-110k,40,127,83267,Mahindra,1
young,Mumbai,90k-110k,40,123,189152,Suzuki,0
old,Delhi,70k-90k,65,81,183195,TVS,0
middle-aged,Chennai,90k-110k,73,102,96960,Mahindra,1
young,Mumbai,50k-70k,43,61,146802,Kawasaki,0
middle-aged,Bangalore,50k-70k,46,72,153071,Bajaj,1
young,Delhi,70k-90k,61,107,126806,Yamaha,1
young,Bangalore,50k-70k,71,101,180313,Bajaj,1
middle-aged,Bangalore,90k-110k,69,68,93402,Yamaha,1
old,Delhi,50k-70k,67,127,59994,Royal Enfield,0
young,Pune,30k-50k,37,79,76222,Honda,0
young,Kolkata,30k-50k,64,53,72343,Suzuki,0
young,Bangalore,70k-90k,78,115,181521,KTM,1
old,Pune,90k-110k,68,110,92928,Bajaj,0
old,Hyderabad,50k-70k,77,98,197187,Honda,1
middle-aged,Delhi,70k-90k,39,94,66620,Bajaj,0
old,Bangalore,70k-90k,64,69,129464,Bajaj,1
middle-aged,Kolkata,90k-110k,51,55,162017,Mahindra,0
middle-aged,Hyderabad,70k-90k,66,61,109641,Royal Enfield,0
old,Delhi,30k-50k,56,72,86406,Royal Enfield,0
middle-aged,Ahmedabad,70k-90k,69,117,114077,Bajaj,1
old,Mumbai,50k-70k,69,56,121028,Yamaha,1
middle-aged,Mumbai,30k-50k,51,119,167425,Suzuki,1
old,Ahmedabad,30k-50k,69,75,64601,Mahindra,1
old,Pune,30k-50k,58,106,185041,Suzuki,0
middle-aged,Mumbai,50k-70k,76,93,158614,Hero,1
young,Chennai,90k-110k,65,117,176903,Hero,0
middle-aged,Ahmedabad,70k-90k,73,119,97380,Suzuki,0
old,Bangalore,70k-90k,35,93,190731,Hero,1
young,Bangalore,30k-50k,69,67,68435,Bajaj,1
middle-aged,Delhi,30k-50k,44,89,123622,Kawasaki,1
middle-aged,Chennai,70k-90k,57,93,136906,Bajaj,1
middle-aged,Bangalore,50k-70k,57,76,160082,Yamaha,1
young,Delhi,30k-50k,48,82,169580,Yamaha,0
old,Kolkata,30k-50k,40,126,129820,Suzuki,0
middle-aged,Bangalore,50k-70k,69,103,121514,Yamaha,1
middle-aged,Pune,90k-110k,59,96,195388,TVS,0
middle-aged,Bangalore,30k-50k,43,66,125741,KTM,0
middle-aged,Kolkata,90k-110k,42,110,59762,TVS,0
middle-aged,Kolkata,50k-70k,63,103,184547,TVS,1
old,Bangalore,70k-90k,67,80,137823,TVS,1
old,Kolkata,70k-90k,74,98,90978,Hero,0
middle-aged,Delhi,90k-110k,48,86,122097,Royal Enfield,1
young,Bangalore,30k-50k,48,78,191680,Honda,0
old,Bangalore,70k-90k,51,58,61482,Kawasaki,0
young,Mumbai,50k-70k,44,107,185779,Suzuki,0
old,Pune,30k-50k,65,126,193725,Honda,1
middle-aged,Bangalore,90k-110k,74,111,178035,Kawasaki,0
old,Hyderabad,90k-110k,69,116,169261,Yamaha,0
middle-aged,Mumbai,90k-110k,36,88,87890,Bajaj,1
old,Kolkata,90k-110k,36,89,194188,Honda,1
middle-aged,Pune,50k-70k,77,68,106543,Mahindra,0
middle-aged,Pune,70k-90k,40,60,102182,KTM,0
middle-aged,Kolkata,90k-110k,71,93,149185,TVS,1
middle-aged,Delhi,70k-90k,53,96,81412,Yamaha,0
young,Ahmedabad,70k-90k,36,87,179383,Royal Enfield,0
middle-aged,Ahmedabad,90k-110k,53,127,121658,TVS,0
young,Mumbai,30k-50k,73,73,94762,Suzuki,0
young,Bangalore,90k-110k,73,58,62402,Yamaha,0
middle-aged,Mumbai,50k-70k,66,103,89929,Royal Enfield,1
young,Kolkata,30k-50k,39,95,84524,Kawasaki,0
old,Kolkata,90k-110k,55,91,155654,Bajaj,1
middle-aged,Hyderabad,70k-90k,78,116,157759,Yamaha,0
young,Ahmedabad,70k-90k,49,78,130713,Honda,1
middle-aged,Delhi,30k-50k,73,91,45986,KTM,1
middle-aged,Ahmedabad,50k-70k,45,74,101042,TVS,0
middle-aged,Pune,70k-90k,61,73,138346,Hero,0
young,Pune,50k-70k,78,120,67769,Yamaha,0
old,Kolkata,70k-90k,41,73,116572,Mahindra,1
old,Mumbai,30k-50k,36,77,183471,Kawasaki,0
young,Pune,90k-110k,60,59,157451,Kawasaki,0
middle-aged,Hyderabad,70k-90k,55,123,71213,Yamaha,0
young,Hyderabad,30k-50k,64,106,47650,Royal Enfield,0
young,Bangalore,30k-50k,53,52,69761,Hero,1
young,Bangalore,90k-110k,71,56,152612,Kawasaki,0
middle-aged,Mumbai,90k-110k,57,100,108947,Bajaj,1
young,Ahmedabad,30k-50k,61,83,164840,TVS,0
middle-aged,Ahmedabad,70k-90k,56,52,82138,Mahindra,1
young,Delhi,50k-70k,62,99,81909,Kawasaki,1
old,Bangalore,50k-70k,61,95,48023,Kawasaki,1
young,Mumbai,90k-110k,48,75,73550,Bajaj,1
young,Mumbai,70k-90k,66,117,164627,Honda,1
old,Kolkata,30k-50k,69,111,158897,Bajaj,1
middle-aged,Pune,50k-70k,46,118,73092,KTM,0
middle-aged,Kolkata,50k-70k,43,71,160566,KTM,0
young,Pune,70k-90k,58,70,90705,Royal Enfield,1
old,Delhi,30k-50k,49,84,125144,Honda,0
middle-aged,Delhi,90k-110k,48,108,84612,Yamaha,0
young,Delhi,50k-70k,60,63,190965,Kawasaki,0
old,Mumbai,70k-90k,74,103,61948,KTM,1
middle-aged,Mumbai,90k-110k,35,114,132207,Hero,1
middle-aged,Ahmedabad,70k-90k,78,113,56076,Yamaha,0
old,Kolkata,30k-50k,74,117,105597,KTM,0
old,Bangalore,70k-90k,49,100,111819,Yamaha,0
old,Hyderabad,90k-110k,51,78,110060,Bajaj,0
old,Pune,30k-50k,72,106,66689,Kawasaki,0
young,Pune,50k-70k,40,54,183324,Kawasaki,1
old,Delhi,90k-110k,37,123,110490,KTM,1
middle-aged,Ahmedabad,70k-90k,47,114,97333,Mahindra,0
middle-aged,Pune,50k-70k,42,108,155023,Royal Enfield,1
young,Chennai,30k-50k,65,119,124981,Hero,1
middle-aged,Delhi,90k-110k,44,115,105358,Honda,0
middle-aged,Hyderabad,30k-50k,64,97,82744,TVS,1
old,Pune,30k-50k,69,108,172949,Suzuki,1
middle-aged,Kolkata,70k-90k,73,63,100030,Suzuki,1
young,Pune,70k-90k,67,64,84931,Bajaj,1
old,Mumbai,70k-90k,38,98,198299,Royal Enfield,0
old,Kolkata,50k-70k,77,118,90246,Hero,1
young,Kolkata,50k-70k,42,79,157920,TVS,1
old,Kolkata,70k-90k,68,50,157226,Mahindra,1
old,Chennai,50k-70k,77,118,90246,Hero,1
young,Chennai,90k-110k,50,72,144326,Bajaj,0
old,Pune,30k-50k,49,58,80159,TVS,0
young,Delhi,70k-90k,36,119,196281,Hero,0
young,Ahmedabad,30k-50k,70,110,48576,Royal Enfield,1
middle-aged,Pune,30k-50k,37,108,125720,Mahindra,0
middle-aged,Pune,30k-50k,71,84,138533,Honda,0
old,Ahmedabad,90k-110k,69,97,83322,Honda,0
old,Ahmedabad,90k-110k,67,67,63551,KTM,0
young,Pune,50k-70k,48,58,93907,TVS,1
old,Ahmedabad,30k-50k,64,119,167199,Hero,0
young,Hyderabad,50k-70k,63,89,105562,Royal Enfield,0
young,Mumbai,30k-50k,52,72,92784,Yamaha,0
old,Kolkata,70k-90k,48,117,72036,Kawasaki,0
young,Bangalore,30k-50k,37,103,152443,KTM,1
middle-aged,Hyderabad,30k-50k,69,85,81381,Suzuki,0
old,Delhi,90k-110k,36,99,76833,Kawasaki,0
middle-aged,Delhi,70k-90k,63,118,171880,Mahindra,1
old,Kolkata,50k-70k,55,76,138527,Mahindra,1
young,Delhi,70k-90k,77,126,186394,Honda,0
old,Kolkata,90k-110k,76,112,174621,Bajaj,0
middle-aged,Delhi,90k-110k,67,83,169882,TVS,0
young,Pune,30k-50k,76,85,60375,Mahindra,1
old,Mumbai,90k-110k,67,92,86249,Suzuki,0
old,Hyderabad,90k-110k,62,118,107044,Hero,1
old,Hyderabad,30k-50k,48,52,105416,Honda,1
middle-aged,Delhi,90k-110k,72,77,182595,Mahindra,1
middle-aged,Hyderabad,90k-110k,49,76,66784,Honda,0
old,Delhi,50k-70k,66,72,61194,KTM,0
young,Ahmedabad,30k-50k,53,77,73362,KTM,1
young,Ahmedabad,30k-50k,77,68,106543,Mahindra,0
middle-aged,Ahmedabad,50k-70k,55,55,169702,Honda,0
young,Bangalore,50k-70k,66,118,89771,Suzuki,1
middle-aged,Hyderabad,50k-70k,38,93,97024,KTM,1
old,Mumbai,50k-70k,72,84,178917,Bajaj,1
middle-aged,Hyderabad,30k-50k,75,95,116204,Royal Enfield,0
middle-aged,Pune,50k-70k,77,79,61157,Yamaha,1
old,Mumbai,50k-70k,41,117,131985,Kawasaki,0
young,Hyderabad,90k-110k,53,95,149475,KTM,1
middle-aged,Mumbai,30k-50k,46,96,76642,Kawasaki,0
middle-aged,Hyderabad,50k-70k,60,107,128085,KTM,0
old,Delhi,90k-110k,47,66,81201,Honda,1
young,Chennai,30k-50k,57,100,108947,Bajaj,0
middle-aged,Ahmedabad,50k-70k,43,91,163502,Suzuki,1
old,Delhi,50k-70k,35,93,54588,Bajaj,0
middle-aged,Kolkata,90k-110k,75,117,70425,TVS,1
old,Ahmedabad,70k-90k,38,73,145732,Kawasaki,1
young,Hyderabad,30k-50k,49,78,130713,Honda,0
young,Bangalore,90k-110k,71,78,174503,Suzuki,1
young,Mumbai,50k-70k,45,99,53505,Kawasaki,0
young,Kolkata,70k-90k,63,60,146399,Royal Enfield,0
middle-aged,Pune,70k-90k,68,79,135038,Honda,1
middle-aged,Ahmedabad,90k-110k,56,73,71938,Kawasaki,1
young,Kolkata,90k-110k,45,127,184073,Bajaj,1
young,Ahmedabad,90k-110k,44,109,195697,Mahindra,1
young,Chennai,30k-50k,69,77,60651,Mahindra,1
middle-aged,Hyderabad,70k-90k,56,127,89591,Yamaha,0
young,Mumbai,30k-50k,46,64,118233,Hero,1
young,Delhi,70k-90k,55,71,76959,Mahindra,0
young,Mumbai,30k-50k,52,70,196133,Bajaj,1
old,Ahmedabad,90k-110k,76,50,72810,Bajaj,0
young,Bangalore,50k-70k,49,51,65323,KTM,1
old,Mumbai,90k-110k,55,97,116943,Honda,1
old,Kolkata,30k-50k,40,91,92037,Hero,1
young,Kolkata,90k-110k,50,121,166863,KTM,0
old,Delhi,70k-90k,62,98,137286,Royal Enfield,1
young,Delhi,30k-50k,51,93,125542,Suzuki,1
middle-aged,Delhi,90k-110k,76,68,133493,Yamaha,0
middle-aged,Pune,90k-110k,46,127,157142,Kawasaki,0
middle-aged,Hyderabad,50k-70k,76,106,114027,Bajaj,0
middle-aged,Bangalore,50k-70k,58,116,99162,Kawasaki,0
old,Pune,90k-110k,54,93,188954,TVS,1
young,Ahmedabad,70k-90k,39,111,44074,Yamaha,1
young,Pune,70k-90k,49,75,96300,Mahindra,1
young,Pune,70k-90k,46,80,128294,Suzuki,1
middle-aged,Ahmedabad,90k-110k,36,108,101089,Kawasaki,0
middle-aged,Mumbai,50k-70k,44,64,82897,Bajaj,0
young,Chennai,90k-110k,64,120,96224,Mahindra,1
middle-aged,Ahmedabad,50k-70k,55,111,152435,TVS,0
young,Hyderabad,70k-90k,60,83,81743,Hero,1
young,Mumbai,50k-70k,65,62,59385,KTM,1
young,Ahmedabad,90k-110k,48,109,63239,Bajaj,1
young,Delhi,90k-110k,46,96,76642,Kawasaki,0
young,Ahmedabad,90k-110k,35,113,51887,Bajaj,0
young,Bangalore,50k-70k,36,75,113224,Bajaj,0
young,Ahmedabad,70k-90k,37,77,99182,KTM,1
middle-aged,Pune,90k-110k,42,87,187250,Mahindra,0
young,Mumbai,90k-110k,63,60,123915,TVS,1
young,Hyderabad,50k-70k,55,111,152435,TVS,1
middle-aged,Kolkata,70k-90k,73,113,192112,Suzuki,0
middle-aged,Hyderabad,50k-70k,54,78,122784,Bajaj,0
middle-aged,Pune,30k-50k,55,68,165844,Kawasaki,0
young,Hyderabad,30k-50k,78,89,149576,Yamaha,0
old,Mumbai,90k-110k,49,127,107295,Royal Enfield,0
old,Kolkata,50k-70k,63,111,135865,KTM,0
middle-aged,Ahmedabad,50k-70k,63,110,183190,KTM,1
old,Mumbai,90k-110k,76,59,101014,Honda,0
middle-aged,Ahmedabad,30k-50k,74,104,87539,Bajaj,1
young,Mumbai,70k-90k,38,57,68398,KTM,1
old,Ahmedabad,70k-90k,46,127,157142,Kawasaki,1
young,Pune,30k-50k,38,63,59167,Bajaj,0
old,Ahmedabad,90k-110k,52,81,133152,Royal Enfield,1
young,Mumbai,90k-110k,40,76,54435,TVS,1
old,Delhi,70k-90k,41,73,184788,Bajaj,1
young,Hyderabad,70k-90k,40,60,151967,Suzuki,1
young,Kolkata,30k-50k,68,127,179772,Royal Enfield,0
old,Ahmedabad,30k-50k,45,111,114968,Kawasaki,0
young,Bangalore,50k-70k,70,115,155491,Kawasaki,1
young,Chennai,30k-50k,53,93,155769,Royal Enfield,0
young,Hyderabad,30k-50k,66,108,158316,Mahindra,1
old,Pune,70k-90k,67,74,175743,Honda,1
old,Kolkata,70k-90k,42,53,179090,Royal Enfield,1
young,Delhi,50k-70k,42,72,113468,Royal Enfield,1
young,Kolkata,70k-90k,48,60,101836,Yamaha,1
old,Bangalore,70k-90k,78,59,79645,Yamaha,1
old,Pune,70k-90k,45,94,100792,Bajaj,1
young,Kolkata,30k-50k,70,122,125238,Suzuki,0
young,Hyderabad,70k-90k,54,54,171785,Yamaha,1
young,Delhi,90k-110k,73,73,94762,Suzuki,0
middle-aged,Pune,30k-50k,47,66,81201,Honda,0
old,Delhi,70k-90k,59,113,82262,Royal Enfield,1
middle-aged,Pune,30k-50k,58,122,103238,Mahindra,1
old,Chennai,70k-90k,53,57,172041,Honda,0
old,Bangalore,50k-70k,67,80,137823,TVS,1
old,Chennai,50k-70k,42,66,110201,Honda,1
old,Hyderabad,50k-70k,71,88,124032,Hero,1
old,Hyderabad,70k-90k,36,111,90950,Bajaj,0
old,Hyderabad,50k-70k,66,55,199075,Hero,1
old,Mumbai,30k-50k,73,62,47985,Hero,0
middle-aged,Hyderabad,50k-70k,46,96,76642,Kawasaki,0
young,Delhi,50k-70k,43,71,187377,KTM,0
young,Chennai,50k-70k,77,106,143525,Yamaha,1
middle-aged,Delhi,50k-70k,76,87,198169,TVS,0
middle-aged,Pune,30k-50k,69,67,94934,KTM,0
middle-aged,Ahmedabad,90k-110k,43,90,60978,Suzuki,1
middle-aged,Delhi,50k-70k,65,117,58481,Mahindra,0
old,Mumbai,70k-90k,40,85,118353,Kawasaki,1
young,Delhi,90k-110k,55,78,105160,Mahindra,1
old,Pune,50k-70k,77,114,53479,Honda,1
young,Ahmedabad,90k-110k,56,72,162566,Bajaj,1
young,Pune,70k-90k,48,112,129192,Royal Enfield,1
middle-aged,Chennai,70k-90k,36,125,136115,Honda,0
old,Hyderabad,50k-70k,54,101,172406,Yamaha,1
middle-aged,Bangalore,50k-70k,49,109,81251,KTM,1
old,Kolkata,70k-90k,66,97,58588,KTM,1
young,Ahmedabad,30k-50k,61,82,86942,Royal Enfield,0
middle-aged,Chennai,90k-110k,45,115,119787,Bajaj,0
middle-aged,Ahmedabad,30k-50k,39,63,162454,Mahindra,1
young,Mumbai,50k-70k,66,76,64389,Royal Enfield,1
young,Kolkata,30k-50k,42,67,144434,TVS,0
young,Delhi,30k-50k,60,52,144537,Honda,0
middle-aged,Chennai,90k-110k,39,101,95468,Suzuki,0
old,Kolkata,50k-70k,68,70,146406,KTM,1
middle-aged,Hyderabad,90k-110k,71,83,57403,Suzuki,1
old,Hyderabad,70k-90k,46,58,108591,Royal Enfield,1
middle-aged,Chennai,90k-110k,49,127,81136,Suzuki,0
middle-aged,Hyderabad,90k-110k,48,85,192395,Kawasaki,0
young,Delhi,70k-90k,53,102,47190,Mahindra,0
old,Pune,30k-50k,49,124,50083,Suzuki,1
middle-aged,Chennai,90k-110k,71,88,124032,Hero,0
middle-aged,Mumbai,70k-90k,67,62,103072,Kawasaki,0
young,Kolkata,50k-70k,49,108,118034,Bajaj,0
young,Kolkata,30k-50k,54,113,176385,Mahindra,0
old,Kolkata,70k-90k,60,98,167402,Yamaha,0
middle-aged,Chennai,30k-50k,68,53,151461,TVS,0
old,Delhi,70k-90k,66,77,130373,Mahindra,0
middle-aged,Chennai,90k-110k,59,67,103902,Bajaj,0
old,Chennai,30k-50k,45,117,194685,Bajaj,1
young,Hyderabad,90k-110k,66,102,188375,Kawasaki,1
middle-aged,Pune,70k-90k,64,82,47543,Bajaj,1
old,Kolkata,90k-110k,78,66,162171,Royal Enfield,0
young,Delhi,90k-110k,71,68,99479,Kawasaki,0
young,Bangalore,70k-90k,50,51,117719,Yamaha,0
old,Ahmedabad,90k-110k,69,100,158310,Kawasaki,1
middle-aged,Delhi,90k-110k,77,91,102759,Royal Enfield,0
middle-aged,Hyderabad,90k-110k,46,96,160912,Honda,1
young,Chennai,50k-70k,68,104,113109,Mahindra,0
middle-aged,Mumbai,50k-70k,66,87,109867,KTM,0
middle-aged,Delhi,50k-70k,37,95,167777,TVS,1
middle-aged,Kolkata,30k-50k,45,97,129469,Suzuki,1
young,Mumbai,90k-110k,39,74,173789,Bajaj,0
old,Bangalore,90k-110k,74,53,165070,Bajaj,0
middle-aged,Bangalore,90k-110k,65,86,192465,Royal Enfield,0
young,Ahmedabad,30k-50k,67,92,86249,Suzuki,0
young,Mumbai,30k-50k,40,92,140856,Suzuki,0
old,Hyderabad,70k-90k,69,108,172949,Suzuki,1
middle-aged,Bangalore,90k-110k,74,125,184749,Mahindra,1
middle-aged,Mumbai,70k-90k,67,104,167791,Honda,0
old,Chennai,70k-90k,60,57,176267,Mahindra,0
old,Mumbai,30k-50k,60,111,177558,Royal Enfield,0
young,Chennai,50k-70k,64,73,61529,Yamaha,0
young,Ahmedabad,30k-50k,57,111,127391,KTM,0
old,Hyderabad,30k-50k,54,67,170244,TVS,0
middle-aged,Kolkata,50k-70k,52,91,87013,Royal Enfield,1
young,Kolkata,50k-70k,71,87,85846,Suzuki,1
young,Bangalore,30k-50k,40,102,89913,KTM,0
middle-aged,Pune,90k-110k,39,54,100096,Hero,0
young,Pune,70k-90k,76,54,110983,KTM,1
middle-aged,Mumbai,90k-110k,64,103,192572,Royal Enfield,1
middle-aged,Hyderabad,70k-90k,47,85,161752,Honda,1
middle-aged,Ahmedabad,90k-110k,71,89,176425,Mahindra,1
old,Chennai,50k-70k,55,120,86679,Yamaha,0
old,Kolkata,90k-110k,41,93,55814,Hero,1
old,Hyderabad,30k-50k,57,58,92926,Yamaha,0
middle-aged,Kolkata,70k-90k,43,125,121994,Kawasaki,0
middle-aged,Kolkata,70k-90k,58,89,158634,Bajaj,0
old,Bangalore,90k-110k,40,91,92037,Hero,0
young,Kolkata,50k-70k,69,102,68399,Kawasaki,1
middle-aged,Ahmedabad,30k-50k,40,126,129820,Suzuki,1
young,Pune,50k-70k,66,65,50789,Honda,0
young,Ahmedabad,30k-50k,54,51,138968,TVS,1
middle-aged,Delhi,30k-50k,56,110,171904,Yamaha,1
middle-aged,Bangalore,30k-50k,78,61,55319,Yamaha,1
young,Mumbai,90k-110k,59,126,89708,Kawasaki,0
young,Delhi,30k-50k,73,84,107755,KTM,0
old,Bangalore,30k-50k,36,123,60116,Royal Enfield,0
old,Hyderabad,30k-50k,72,126,149736,KTM,1
middle-aged,Bangalore,70k-90k,42,83,167168,Honda,1
old,Ahmedabad,70k-90k,71,102,190429,TVS,1
old,Chennai,90k-110k,59,54,147915,Honda,1
old,Delhi,90k-110k,70,103,113351,TVS,1
old,Delhi,70k-90k,68,76,106665,Yamaha,1
young,Ahmedabad,70k-90k,64,57,47262,Bajaj,1
middle-aged,Pune,30k-50k,68,64,84502,KTM,1
old,Delhi,70k-90k,59,127,45537,Suzuki,0
young,Kolkata,90k-110k,61,125,106672,Yamaha,1
young,Pune,90k-110k,39,111,44074,Yamaha,1
young,Hyderabad,30k-50k,46,56,193105,Suzuki,1
old,Kolkata,50k-70k,68,81,123459,Bajaj,0
old,Pune,50k-70k,66,65,188613,TVS,1
middle-aged,Mumbai,70k-90k,76,68,64156,Mahindra,1
old,Hyderabad,30k-50k,73,102,96960,Mahindra,0
old,Pune,70k-90k,38,70,194214,Bajaj,0
young,Mumbai,30k-50k,74,69,95507,Yamaha,1
